10	34	40	1
10	35	32	4
10	36	57	0
10	37	54	56
10	38	55	8
10	39	.	.
10	40	53	4
10	41	54	31
10	42	40	36
10	43	22	12
10	44	34	22
10	45	39	30
10	46	38	63
10	47	50	60
10	48	29	56
10	49	.	.
10	50	39	47
10	51	32	31
10	52	39	60
10	53	64	41
10	54	34	33
10	55	56	60
10	56	65	22
10	57	26	27
10	58	28	24
10	59	62	26
10	60	55	31
10	61	54	66
10	62	.	.
10	63	58	31
10	64	28	57
10	65	32	57
10	66	59	31
10	67	32	79
10	68	70	32
10	69	61	64
10	70	31	59
10	71	56	32
10	72	39	68
10	73	57	60
10	74	9	22
10	75	26	29
10	76	60	33
10	77	24	30
10	78	55	34
10	79	29	37
10	80	29	25
10	81	65	58
10	82	35	38
10	83	30	30
10	84	30	26
10	85	27	28
10	86	22	33
10	87	60	22
10	88	76	9
10	89	34	63
10	90	55	28
10	91	14	22
10	92	56	21
10	93	16	64
10	94	25	45
10	95	57	37
10	96	66	61
10	97	66	39
10	98	74	56
10	99	27	56
10	100	15	55
10	101	56	58
10	102	61	59
10	103	37	19
10	104	.	.
10	105	26	21
10	106	25	28
10	107	29	35
10	108	63	58
10	109	19	38
10	110	19	19
10	111	28	29
10	112	65	51
10	113	61	17
10	114	21	18
10	115	58	23
10	116	35	18
10	117	58	1
10	118	31	25
10	119	24	57
10	120	54	42
12	1	70	81
12	2	0	60
12	3	0	100
12	4	11	77
12	5	5	60
12	6	85	60
12	7	100	70
12	8	30	30
12	9	20	70
12	10	80	60
12	11	90	66
12	12	50	65
12	13	60	65
12	14	15	10
12	15	85	71
12	16	100	0
12	17	50	60
12	18	22	60
12	19	0	70
12	20	50	70
12	21	95	90
12	22	45	80
12	23	60	75
12	24	50	85
12	25	80	75
12	26	70	0
12	27	11	100
12	28	50	100
12	29	50	0
12	30	75	0
12	31	.	.
12	32	22	25
12	33	0	24
12	34	0	0
12	35	.	.
12	36	0	26
12	37	0	82
12	38	83	0
12	39	75	100
12	40	16	92
12	41	65	75
12	42	20	35
12	43	15	80
12	44	77	75
12	45	55	80
12	46	35	81
12	47	0	0
12	48	0	30
12	49	50	70
12	50	0	15
12	51	50	79
12	52	0	76
